name,latitude,longitude,type,volcano_number
Adamozhets,54.688,159.483,Minor | Cone,300847
Aneityum,-20.1875,169.8194,Composite | Stratovolcano(es),257110
Anilao Hill,13.9,121.18,Minor | Pyroclastic cone,273808
Antiparos,36.995,25.046,Minor | Pyroclastic cone(s),212804
Antipin,46.15,150.23,Composite | Stratovolcano,290804
Animas,1.568,-76.857,Composite | Stratovolcano,351810
Antipodes Island,-49.684,178.781,Minor | Pyroclastic cone(s),335010
Anjouan,-12.2,44.45,Shield | Shield,233801
Anjuisky,67.154,165.82,Minor | Pyroclastic cone(s),301801
Antofagasta Volcanic Field,-26.12,-67.4,Cluster | Volcanic field,355180
Aonoyama,34.459,131.798,Minor | Lava dome(s),283805
Aoso,38.082,140.611,Composite | Stratovolcano,283871
Apagado,-22.05,-67.97,Composite | Stratovolcano,355830
Apan-Tezontepec,19.75,-98.5,Cluster | Volcanic field,341838
Antofalla,-25.55,-67.92,Composite | Stratovolcano(es),355867
Apas-Navenchauc,16.716,-92.786,Caldera | Caldera(s),341831
Apastepeque Field,13.6958,-88.7722,Cluster | Volcanic field,343071
Adagdak,51.988,-176.592,Composite | Stratovolcano,311800
Apoyo,11.92,-86.03,Caldera | Caldera,344802
Apuseni Mountains,45.93,22.88,Cluster | Volcanic field,210803
Arayat,15.2,120.742,Composite | Stratovolcano,273084
Argo Point,-66.25,-60.92,Minor | Pyroclastic cone,390830
Apo,6.989,125.269,Composite | Stratovolcano,271030
Argowayang,-7.77,112.43,Composite | Stratovolcano,263822
Arintica,-18.75,-69.05,Composite | Stratovolcano(es),355814
Asakusa,37.341,139.237,Composite | Stratovolcano,283867
Arpacay,41.0,43.467,Cluster | Volcanic field,213803
"Ascotan, Cerro",-21.68,-68.12,Composite | Stratovolcano,355826
Arkhangelsky,46.5165,151.4124,Composite | Stratovolcano,290160
Asgura,11.75,40.9,Composite | Stratovolcano,221808
Ashitaka,35.238,138.794,Composite | Stratovolcano,283822
Asie,2.964,37.104,Shield | Shield,222801
Ata Volcanic Complex,-22.337,-176.21,Composite | Unknown,243015
Atherton Basalt Province,-17.3,145.72,Cluster | Shield(s),259803
Auca Mahuida Volcanic Field,-37.738,-68.924,Cluster | Volcanic field,357807
Aurora-Bodie,38.32,-118.88,Cluster | Volcanic field,326802
Avos' Rocks,49.72,154.12,Unknown | Unknown,290810
Axial Chain,16.12,-61.7,Composite | Stratovolcano(es),360810
Aucanquilcha,-21.22,-68.47,Composite | Stratovolcano,355823
Ayame-daira,36.895,139.243,Composite | Stratovolcano(es),283862
Adachi,38.218,140.654,Minor | Pyroclastic cone,283874
Ayarza,14.42,-90.12,Caldera | Caldera(s),342806
Azrou Volcanic Field,33.67,-5.17,Cluster | Volcanic field,225813
"Azufre, Cerro del",-21.787,-68.237,Composite | Stratovolcano,355061
"Azufre, El",-25.37,-68.88,Unknown | Unknown,355859
"Azul, Volcan",12.549,-83.968,Minor | Pyroclastic cone(s),344140
"Azufres, Los",19.85,-100.63,Caldera | Caldera,341824
Azumayasan,36.541,138.412,Composite | Stratovolcano,283849
Badi,12.387,40.366,Composite | Stratovolcano,221805
Babba'Olou,11.55,42.133,Composite | Stratovolcano,221825
Bagabag,-4.78,146.23,Composite | Stratovolcano,251802
Bailey,43.155,-122.219,Shield | Shield,322828
Bakanovi,-6.15,155.35,Composite | Stratovolcano,255802
Bakony-Balaton Highland,46.92,17.63,Cluster | Volcanic field,210805
Baldface Mountain,52.742,-124.458,Cluster | Volcanic field,320135
Balatukan,8.77,124.98,Composite | Compound,271072
Bald Knoll,37.328,-112.408,Minor | Pyroclastic cone(s),327030
Baluan,-2.5578,147.285,Composite | Stratovolcano,250020
Balagan-Tas,65.959,145.893,Minor | Pyroclastic cone(s),301805
Balut,5.398,125.376,Composite | Stratovolcano,271010
Balintang,19.9574,122.1442,Composite | Stratovolcano,274035
Ban Chiang Khian,19.8,100.0,Unknown | Unknown,275817
Ban Hui Sai,20.3,100.3,Unknown | Unknown,275818
Bangum,-5.345,149.94,Composite | Stratovolcano,252802
Ban Chay Plateau,13.883,107.4,Cluster | Volcanic field,275804
Barahona,14.55,-90.78,Caldera | Caldera(s),342802
"Baqarah, Jabal",18.024,42.092,Minor | Cone,231073
Acoculco,19.97,-98.2,Caldera | Caldera,341827
Barus,3.204,98.564,Composite | Stratovolcano,261824
Bas Song Be,11.67,106.67,Cluster | Volcanic field,275807
Bas Dong Nai,10.833,107.283,Cluster | Volcanic field,275050
Basalt Knob,58.03,-136.33,Minor | Cone,315808
Beethoven Peninsula,-71.55,-73.42,Cluster | Volcanic field,390825
Beaufort Island,-76.98,167.02,Composite | Stratovolcano,390845
Beliling,-8.62,119.97,Unknown | Unknown,264842
Bazman,28.07,60.0,Composite | Stratovolcano,232030
Belenkaya,51.75,157.27,Composite | Stratovolcano,300042
Bekulap,3.288,98.351,Minor | Lava dome(s) ?,261811
Berguent Volcanic Field,33.75,-2.4,Cluster | Volcanic field,225816
Bely,57.88,160.53,Shield | Shield(s),300640
Biaro,2.1028,125.3667,Composite | Unknown,267005
Big Bunchgrass,42.703,-122.194,Minor | Pyroclastic cone,322830
Big Cave,40.955,-121.365,Shield | Shield,323805
"Biao, Pico",3.3581,8.6256,Shield | Shield,224003
Big Pine Volcanic Field,37.05,-118.25,Minor | Pyroclastic cone(s),323823
Besar,-4.437,103.671,Composite | Stratovolcano?,261250
Bibinoi,-0.761,127.725,Composite | Stratovolcano(es),268073
Aak,53.38,158.67,Composite | Stratovolcano(es),300830
Bijar Volcanic Field,35.583,47.8,Cluster | Volcanic field,232800
Bishamondake,35.936,136.795,Composite | Stratovolcano,283830
Black Crater,44.266,-121.749,Shield | Shield(s),322808
Biwau Hills,-7.32,143.28,Minor | Pyroclastic cone(s),253804
Biu Plateau,10.75,12.088,Cluster | Volcanic field,224050
Blackfoot Lava Field,42.85,-111.75,Cluster | Volcanic field,324803
Blacks Mountain,40.775,-121.191,Shield | Shield,323810
Blafell,64.492,-19.87,Composite | Tuya,371809
Blafjall,65.43,-16.85,Composite | Tuya,373805
Blit,6.958,124.23,Unknown | Unknown,271800
Birao,43.498,144.408,Composite | Stratovolcano(es),285824
Bliznets,56.97,159.78,Composite | Stratovolcano,300490
Blue Mountain,57.72,-156.847,Cluster | Volcanic field,312803
Bogachensky,55.13,160.9,Shield | Shield,300848
Bogoria,0.25,36.08,Shield | Shield,222803
Boku,8.55,39.275,Caldera | Caldera,221224
Boisa,-3.9935,144.9658,Composite | Stratovolcano,251011
Bolshaya Ipelka,52.63,156.97,Shield | Shield,300822
Bolshaya Romanovka,55.73,158.77,Shield | Shield,300876
