name,latitude,longitude,type,volcano_number
Hsiaolanyu,21.9529,121.6123,Composite | Compound,274085
Hreppar,64.42,-19.5,Cluster | Fissure vent(s),371810
Huitepec,16.743,-92.694,Minor | Lava dome,341832
"Hule, Cerro de",13.95,-87.23,Shield | Shield,343818
Igualata,-1.49,-78.639,Composite | Stratovolcano,352822
Ialibu,-6.2341,144.0774,Composite | Stratovolcano,253808
Iiji,36.953,138.836,Composite | Stratovolcano,283856
Iizuna,36.736,138.137,Composite | Stratovolcano,283844
Iguan,0.621,-78.007,Composite | Stratovolcano,352806
Ikanmikot,46.964,152.07,Composite | Stratovolcano,290807
Iettunup,58.4,161.08,Shield | Shield(s),300710
Iki Volcanic Group,33.738,129.712,Cluster | Pyroclastic cone(s),282819
Iktunup,58.08,160.77,Shield | Shield(s),300670
Ilalo,-0.259,-78.418,Composite | Stratovolcano,352810
Ilimuda,-8.479,122.761,Composite | Stratovolcano,264170
Ilihan,10.483,125.122,Unknown | Unknown,272801
Imagination Peak,42.552,-122.201,Minor | Pyroclastic cone,322831
Imbing,7.68,123.23,Composite | Stratovolcano(es),271803
Imuta,31.819,130.463,Minor | Lava dome(s),282806
Hulunilo,-2.418,101.776,Composite | Stratovolcano,461839
Imun,2.156,98.934,Minor | Lava cone,261101
Inacalari,-21.981,-68.071,Composite | Stratovolcano,355065
In Teria Volcanic Field,25.0847,8.009,Cluster | Tuff ring(s),225812
Igolki,52.02,156.88,Shield | Shield(s),300813
Inambajima,33.648,139.302,Minor | Lava dome,284802
Inaccessible Island,-37.303,-12.699,Composite | Stratovolcano,386800
Incaguasi,-24.03,-67.53,Unknown | Unknown,355855
Inskip Hill,40.341,-121.943,Minor | Pyroclastic cone(s),323820
Ingrichuak Hills,62.22,-164.3,Minor | Pyroclastic cone(s),314804
Irish Mountain,43.851,-121.975,Shield | Shield,322813
Incapillo,-27.9,-68.8,Caldera | Caldera,355870
Ipala,14.5574,-89.6398,Composite | Stratovolcano,342190
Isau-Isau,-3.967,103.643,Unknown | Unknown,261863
Iblei,37.117,14.821,Shield | Shield?,211820
Isanotski Peaks,54.765,-163.723,Composite | Stratovolcano,311370
Itcha Range,52.667,-124.833,Cluster | Shield,320809
Iult,55.23,160.587,Composite | Stratovolcano,300856
Ixhuatan,14.161,-90.286,Composite | Complex,342805
"Isabel, Isla",21.848,-105.886,Minor | Tuff cone(s),341023
"Izopo, Montaña de",13.92,-87.15,Shield | Shield(s),343817
Itasy Volcanic Field,-19.0306,46.6444,Cluster | Volcanic field,233014
Izumbwe-Mpoli,-8.976,33.38,Minor | Pyroclastic cone(s),222165
Jarvis,62.024,-143.619,Composite | Stratovolcano,315805
Jaishi,34.71,138.786,Shield | Shield,283815
"Jayu Khota, Laguna",-19.463,-67.432,Minor | Maar(s),355035
Jianghui Group,31.95,118.95,Minor | Pyroclastic cone,305801
Jackies Butte,42.606,-117.589,Cluster | Volcanic field,322842
Jatun Mundo Quri Warani,-19.78,-66.48,Minor | Lava dome(s),355036
Jianshan,48.891,125.615,Shield | Shield,305849
Jolo,6.0,121.125,Cluster | Pyroclastic cone(s),270010
Jorcada,-22.08,-67.77,Cluster | Stratovolcano,355835
Jos Plateau,9.5,9.0,Cluster | Volcanic field,224060
Jornada del Muerto,33.53,-106.87,Shield | Shield,327811
Jumbo Dome,63.966,-148.685,Minor | Lava dome,315802
Jumelles-Mwezi Volcanic Field,-12.3014,45.5792,Cluster | Unknown,233030
Jumay Volcanic Field,14.694,-89.993,Composite | Stratovolcano,342811
"Hulu Lais, Bukit",-3.247,102.239,Composite | Compound,261200
Kabara,-18.95,-178.95,Composite | Unknown,245804
"Hutaymah, Harrat",26.98,42.4,Cluster | Volcanic field,231806
Kaileney,57.8,160.67,Shield | Shield,300620
Kaitake,-39.17,173.97,Composite | Stratovolcano,241812
Kaikohe-Bay of Islands,-35.3,173.9,Cluster | Volcanic field,241010
Kahoolawe,20.57,-156.57,Shield | Shield,332801
Kaena,21.822,-158.772,Shield | Shield,332080
Kakuto,32.042,130.767,Caldera | Caldera,282808
Kakepuku,-38.066,175.25,Minor | Lava cone(s),241811
Kaladis,7.58,122.97,Composite | Stratovolcano,271804
Kalama,3.241,125.4635,Composite | Stratovolcano,267036
Kaledong,-7.053,107.908,Minor | Lava dome,263809
Kalatungan,7.95,124.8,Composite | Stratovolcano,271061
Kalgauch,56.93,159.73,Composite | Stratovolcano,300896
Kamen,52.287,157.655,Composite | Stratovolcano,300819
Kamenisty,57.65,160.43,Composite | Stratovolcano,300900
Kaminoroka,36.471,137.599,Unknown | Unknown,283840
Kamitakara,36.2,137.502,Unknown | Unknown,283837
Kancana,-6.897,107.041,Composite | Stratovolcano,263803
Kancana,-7.32,107.63,Composite | Stratovolcano,263814
Kannabe,35.504,134.678,Shield | Shield,283896
Kanpu,39.931,139.879,Composite | Stratovolcano,283888
Kapenga,-38.27,176.27,Caldera | Caldera(s),241817
Karasu Rift,36.767,36.6,Cluster | Volcanic field,213060
Kariba,42.611,139.944,Composite | Stratovolcano,285807
Karimui,-6.57,144.77,Composite | Stratovolcano,253811
Katafaga,-17.52,-178.72,Composite | Unknown,245803
Kasuga 3,21.399,143.626,Composite | Stratovolcano,284144
Katahelu,12.551,41.503,Minor | Cone,221802
Karapinar Monogenetic Field,37.6407,33.5901,Cluster | Volcanic field,213001
Karioi,-37.865,174.802,Composite | Stratovolcano,241809
Karymshina,52.8,158.0,Caldera | Caldera,300087
Kauai,22.07,-159.5,Shield | Shield,332809
Kaula,21.67,-160.55,Shield | Shield,332811
Katete,-9.112,33.746,Composite | Stratovolcano,422827
Kawdy Metah,59.02,-131.15,Cluster | Volcanic field,320804
Kawalusu,4.232,125.329,Composite | Stratovolcano,267070
Kaukab,36.536,40.858,Cluster | Volcanic field,230010
Kayo,39.804,140.734,Composite | Stratovolcano,283884
Kawio Barat,4.675,125.088,Composite | Stratovolcano,267090
Kayo Seamount,29.064,140.537,Composite | Stratovolcano,284088
Kebeney,57.1,159.93,Shield | Shield,300500
Kekurny,56.4,158.85,Shield | Shield(s),300410
Keli Highland,42.45,44.25,Cluster | Pyroclastic cone(s),214040
Kell,51.65,157.35,Composite | Stratovolcano(es),300041
Kembar,3.85,97.664,Shield | Shield,261810
Kenashi,36.895,138.489,Composite | Stratovolcano,283853
Hut Point Peninsula,-77.75,166.75,Cluster | Pyroclastic cone(s),390814
Kendang,-7.245,107.709,Composite | Stratovolcano,263110
Kendeng,-6.768,106.526,Composite | Stratovolcano,263812
Kerewa,-6.02,143.15,Composite | Stratovolcano,253800
Kerimasi,-2.87,35.95,Composite | Stratovolcano,222808
Ketumbeine,-2.88,36.22,Shield | Shield,222807
Keveney,58.05,160.73,Shield | Shield,300905
Kharchinsky,56.425,160.825,Composite | Stratovolcano,300860
Khuvkhoitun,57.92,160.65,Composite | Complex,300904
Kilchu-Myongch'on,41.0,129.7,Cluster | Volcanic field,306800
Khanuy Gol Volcanic Field,48.67,102.75,Cluster | Volcanic field,303020
Kibblewhite,-34.576,179.262,Composite | Stratovolcano,241151
Kilombe Caldera,-0.08,35.83,Caldera | Caldera,222804
Kimitina,55.25,158.18,Composite | Stratovolcano,300872
Kinpo,32.811,130.641,Composite | Stratovolcano,282812
Kinunuma-Nenakusa,36.88,139.375,Minor | Lava dome(s),283863
Kinyo Seamount,28.084,140.802,Composite | Stratovolcano,284089
Kireunsky,56.78,159.75,Shield | Shield,300893
Kitabud,7.285,124.662,Unknown | Unknown,271802
Kobi-sho,25.919,123.682,Composite | Stratovolcano,282800
Klastline Group,57.88,-130.2,Cluster | Pyroclastic cone(s),320806
Kirigamine,36.1,138.2,Shield | Shield,283825
Kobalan,55.43,157.37,Composite | Stratovolcano,300869
Huri Hills,3.5,37.75,Shield | Shield,222802
Kobinai,39.018,140.523,Composite | Stratovolcano,283881
Kilimanjaro,-3.07,37.35,Composite | Stratovolcano,222150
Kogajajima,29.879,129.625,Minor | Lava dome(s),282041
Kistufell,64.781,-17.21,Composite | Tuya,373801
Kitkhoysky,53.584,158.56,Shield | Shield(s),300832
Koil,-3.356,144.208,Composite | Stratovolcano,251805
Kohala,20.08,-155.72,Shield | Shield,332800
Koksan-Singye,38.67,127.42,Shield | Shield,306801
Komochi-Onoko,36.589,139.001,Composite | Stratovolcano(es),283858
Kolob,37.33,-113.12,Cluster | Volcanic field,327800
Kisir Dagi,40.97,43.07,Composite | Unknown,213804
Kolombangara,-7.97,157.08,Composite | Stratovolcano,255805
Konechnaya,55.23,160.97,Shield | Shield,300850
Kookooligit Mountains,63.6,-170.43,Shield | Shield,314050
Koro,-17.32,179.4,Composite | Pyroclastic cone(s),245020
Kopkan,56.48,158.83,Shield | Shield(s),300881
Konradi,55.08,160.53,Composite | Stratovolcano,300851
Kozyrevsky,55.637,158.368,Shield | Shield,300330
Kos,36.852,27.251,Caldera | Caldera(s),212805
Krainy,53.95,159.33,Composite | Stratovolcano,300842
Krugliy,52.16,157.64,Shield | Shield,300816
Krainy,56.37,159.03,Shield | Shield,300400
Kuandian,40.75,124.67,Minor | Pyroclastic cone(s),305855
Kuiwai,-33.159,-179.957,Composite | Stratovolcano,241203
Kuh-e Ayyub Ansar,36.321,47.25,Minor | Lava dome,232803
Kulal,2.75,36.93,Shield | Shield,222800
Kuantan Basalt,3.886,103.365,Minor | Cone,275819
Kulkev,56.37,158.37,Shield | Shield,300370
Kumaneshiri,43.52,143.237,Composite | Stratovolcano(es),285821
Kunkhilok,57.321,160.48,Composite | Stratovolcano,300897
Kunyit,-2.274,101.483,Composite | Stratovolcano,261171
Kumba Volcanic Field,4.608,9.292,Cluster | Volcanic field,224012
Kuntomintar,48.75,154.02,Composite | Stratovolcano,290808
Kurofuji,35.8,138.513,Composite | Stratovolcano(es),283823
Kupol,53.5,158.65,Composite | Stratovolcano,300831
Kurohime,36.81,138.13,Composite | Stratovolcano,283843
Kuril Arc at 45.0°N,45.0166,147.0245,Composite | Stratovolcano,290061
Kurose,33.695,130.233,Unknown | Volcanic remnant,282818
Kuroshima,30.825,129.94,Composite | Stratovolcano,282802
Kuzheten,51.82,157.22,Shield | Shield,300808
Kuzanek,51.93,157.18,Shield | Shield,300811
Kwaraha,-4.23,35.82,Composite | Stratovolcano,222814
Labo,14.02,122.792,Composite | Compound,273804
Laco,-23.818,-67.5,Minor | Lava dome,355854
Koolau,21.37,-157.8,Shield | Shield,332807
La Union Norte Volcanic Field,13.67,-87.82,Cluster | Volcanic field,343806
Kyogatake,36.043,136.625,Composite | Stratovolcano(es),283834
Laguna Caldera,14.42,121.27,Caldera | Caldera,273080
"Lajas, Las",12.3045,-85.7293,Caldera | Caldera,344133
Lambafjoll,65.867,-17.133,Cluster | Fissure vent(s),373809
"Lambuwu, Doro",-8.362,118.497,Composite | Stratovolcano,264836
Lampang,18.3,99.6,Unknown | Unknown,275816
Lanai,20.82,-156.85,Shield | Shield,332804
Langtutkin,58.23,161.1,Shield | Shield,300906
Lasem,-6.68,111.52,Composite | Stratovolcano,263807
Lauchachan,55.35,157.1,Shield | Shield,300867
Latour Butte,40.608,-121.709,Minor | Lava cone,323812
Latukan,7.654,124.438,Composite | Stratovolcano,271050
Lava Mountain,43.472,-120.754,Cluster | Volcanic field,322130
Lava Butte,43.001,-117.422,Shield | Shield(s),322838
"Larancagua, Volcan",-18.02,-69.08,Composite | Stratovolcano,355810
Lava Mountains Volcanic Field,35.5,-117.5,Minor | Lava dome(s),323824
Lavic Lake,34.75,-116.625,Cluster | Volcanic field,323190
Leizhou Bandao,20.78,110.17,Cluster | Volcanic field,275010
"Leon, Cerro",30.227,-114.655,Minor | Cone,341800
Lenderut,-2.095,36.285,Caldera | Caldera,422820
Lejia,-23.555,-67.764,Composite | Stratovolcano,355852
"Leon, Cerro del",-22.142,-68.108,Composite | Stratovolcano(es),355832
Little Hungarian Plain,47.192,17.2,Cluster | Volcanic field,210806
Linosa,35.87,12.87,Minor | Pyroclastic cone(s),211821
Lipang,3.911,125.39,Composite | Stratovolcano,267060
"Linzor, Volcan",-22.18,-67.95,Composite | Stratovolcano,355834
Likuruanga,-4.953,151.385,Composite | Stratovolcano,252804
Lereboleng,-8.365,122.833,Composite | Complex,264200
Livingston-Greenwich Islands,-62.52,-60.02,Minor | Tuff cone(s),390827
"Limones Volcanic Field, Los",14.05,-89.13,Minor | Pyroclastic cone(s),343802
Lihir,-3.1222,152.6,Composite | Compound,254010
Little Barrier,-36.197,175.078,Composite | Stratovolcano,241804
Llimpi,-1.381,-78.572,Composite | Stratovolcano,352819
Lobi,11.013,124.812,Composite | Stratovolcano,272806
Loman Volcano Group,33.33,67.85,Minor | Lava dome(s),232810
"Lolotique, Cerro",13.559,-88.364,Unknown | Unknown,343815
Logudoro,40.58,8.67,Cluster | Volcanic field,211815
Llancanelo Volcanic Field,-35.75,-69.25,Cluster | Pyroclastic cone(s),357803
Loolmalasin,-3.052,35.817,Composite | Unknown,222809
Losloyo,-23.13,-67.37,Composite | Stratovolcano,355846
Longhai,24.5,117.5,Unknown | Unknown,305832
Lotomgan Group,-5.22,150.07,Minor | Pyroclastic cone(s),252812
Lost Lake Butte,45.496,-121.796,Shield | Shield,322802
Lubuk Raya,1.478,99.209,Composite | Stratovolcano,261111
Lucaret Basalts,45.826,21.69,Cluster | Fissure vent,210804
Lower Chindwin,22.28,95.1,Cluster | Volcanic field,275090
Lyzyk,57.23,161.52,Minor | Unknown,300863
Long Valley,37.7,-118.87,Caldera | Caldera,323822
Mabda,13.508,41.779,Minor | Lava dome,221109
Lyngdalsheidi,64.15,-20.9,Shield | Shield,371802
Madarao,36.834,138.278,Composite | Stratovolcano,283842
Maer Volcanic Province,-9.717,143.833,Cluster | Pyroclastic cone(s),259800
Magee Peak,40.698,-121.619,Composite | Stratovolcano,323809
Maclaren River Volcanic Field,63.1369,-146.32,Minor | Volcanic field,315100
Mabudis-Siayan,20.9174,121.9107,Composite | Compound,274075
Maderas,11.446,-85.515,Composite | Stratovolcano,344130
Mago,-17.45,-179.15,Minor | Pyroclastic cone(s),245802
Mahukona,20.17,-156.42,Minor | Cone,332802
Mahagnao,10.8805,124.8651,Composite | Stratovolcano,272070
Maiden Peak,43.627,-121.965,Shield | Shield(s),322819
"Maichín, Cerro",-39.35,-71.55,Composite | Stratovolcano,357812
Maidu,40.3,-121.62,Composite | Stratovolcano,323819
Malabar,-7.132,107.639,Composite | Stratovolcano,263081
Malepunyo,13.9615,121.2468,Composite | Stratovolcano,273807
Malinao,13.416,123.608,Composite | Stratovolcano,273801
Malaya Ipelka,52.28,156.73,Composite | Complex,300818
Malang Plain,-8.067,112.733,Cluster | Maar(s),263292
Malaya Ketepana,56.68,158.47,Shield | Shield,300884
Malindig,13.24,122.018,Composite | Stratovolcano,273044
Malindang,8.22,123.63,Composite | Stratovolcano,271071
Malutut,-14.371,-170.174,Composite | Stratovolcano,244023
Maly Alney,56.47,159.77,Composite | Stratovolcano(es),300890
Maly Chekchebonay,56.8,159.45,Shield | Shield,300891
Mandalagiri,-7.4,107.78,Composite | Stratovolcano,263815
Mamuya,1.7825,127.9182,Composite | Cone,268015
Malpaisillo,12.58,-86.6,Unknown | Pyroclastic shield,344801
Manengouba,5.03,9.83,Composite | Stratovolcano,224020
Mangakino,-38.35,175.75,Caldera | Caldera,241818
Maninjau,-0.35,100.2,Caldera | Caldera,261817
Marble Mountain,46.109,-122.129,Shield | Shield,321802
Mandalagan,10.65,123.25,Composite | Complex,272030
"Maria, Doro",-8.483,118.924,Unknown | Unknown,264837
"Marinaqui, Laguna",-38.301,-71.108,Minor | Pyroclastic cone(s),357092
Maripipi,11.8,124.33,Unknown | Unknown,272804
Martimbang,1.96,98.968,Composite | Stratovolcano,261816
Mariveles,14.527,120.482,Composite | Stratovolcano,273081
Martin Vaz,-20.47,-28.85,Composite | Stratovolcano,385801
Maroa,-38.42,176.08,Caldera | Caldera(s),241061
Masahuat Volcanic Field,14.2,-89.4,Composite | Stratovolcano,343800
Mashkovtsev,51.1,156.72,Composite | Stratovolcano,300001
Masaraga,13.3099,123.5978,Composite | Stratovolcano,273031
Mason Spur,-78.58,164.37,Cluster | Lava dome(s),390818
Masugata,37.075,138.833,Minor | Pyroclastic cone,283857
Masurai,-2.503,101.858,Composite | Stratovolcano,261819
Matarem,20.38,121.93,Composite | Compound,274800
Maungatautari,-38.019,175.576,Composite | Stratovolcano,241823
Mauritius,-20.32,57.65,Shield | Shield,233803
McCoy,39.97,-106.7,Minor | Pyroclastic cone(s),328800
Mbareke,-8.55,158.07,Composite | Stratovolcano,255807
McLoughlin,42.445,-122.315,Composite | Stratovolcano,322834
Mclean Volcanic Province,-15.87,144.83,Cluster | Pyroclastic cone(s),259802
Medaw Island,11.72,98.67,Cluster | Fissure vent(s),275820
"Meanguera, Isla",13.19,-87.72,Composite | Stratovolcano(es),343816
Melintang,-0.32,100.67,Composite | Stratovolcano,261859
Merbuk,-8.226,114.653,Unknown | Unknown,264830
Mere Lava,-14.4585,168.04,Composite | Stratovolcano,257021
Mienhuayu,25.484,122.106,Composite | Stratovolcano,281804
Mezhdusopochny,57.47,160.25,Shield | Shield,300570
Mikura Seamount,33.725,139.408,Composite | Stratovolcano,284043
Mikeno,-1.463,29.419,Composite | Stratovolcano,223800
"Mercedes, Cerro las",10.97,-84.35,Minor | Pyroclastic cone,345805
Merig,-14.32,167.8,Composite | Stratovolcano,257802
Mineral Mountains-Cove Fort,38.58,-112.67,Cluster | Volcanic field,327801
Minakami,36.551,138.226,Minor | Lava dome,283846
Mispia,16.447,-92.539,Minor | Lava dome(s),341833
Miscanti,-23.67,-67.72,Composite | Stratovolcano,355853
"Moiro, Cerro",-21.68,-67.47,Minor | Pyroclastic cone,355828
Moctezuma Volcanic Field,29.63,-109.52,Cluster | Volcanic field,341806
Mostyn,4.6,118.18,Cluster | Fissure vent(s) ?,269814
Mota,-13.85,167.68,Composite | Stratovolcano,257801
Motodori,36.717,138.247,Minor | Lava dome,283845
Mountain Lakes,42.32,-122.08,Cluster | Volcanic field,322841
Mountain Home-Kuna Lava Field,43.2,-115.98,Minor | Pyroclastic cone(s),324801
Moekeshiwan [Lvinaya Past],44.608,146.994,Caldera | Stratovolcano,290041
Mrit-Ment Volcanic Field,33.47,-2.97,Cluster | Volcanic field,225815
Mukaimachi,38.75,140.52,Caldera | Caldera,283878
Mundua,-4.624,149.339,Composite | Complex,252021
Murray,-6.75,144.02,Composite | Stratovolcano,253809
Mutny,57.72,160.37,Shield | Shield,300903
Musa,43.676,144.886,Composite | Stratovolcano(es),285826
Mutsu-Hiuchidake,41.436,141.056,Composite | Stratovolcano,283892
Naeba,36.843,138.694,Composite | Stratovolcano,283855
Nairai,-17.8,179.42,Composite | Complex,245800
Nanashigure,40.066,141.109,Minor | Lava dome,283889
Nama Salah,4.65,96.78,Unknown | Unknown,261806
"Nanti, Bukit",-4.2,103.85,Unknown | Unknown,261864
Moutohora Island,-37.855,176.974,Composite | Complex,241815
Nader,28.17,60.67,Cluster | Volcanic field,232040
Natib,14.72,120.4,Composite | Stratovolcano,273082
Murphy,-75.37,-110.67,Shield | Shield,390824
Muria,-6.62,110.88,Composite | Stratovolcano,263251
"Napa, Cerro",-20.52,-68.68,Composite | Stratovolcano,355820
Namyong,25.68,96.43,Cluster | Fissure vent(s),275823
Nemours-Nedroma,35.07,-2.0,Cluster | Volcanic field,225804
"Nevada, Sierra",-38.58,-71.58,Composite | Stratovolcano,357808
"Navajas, Las",21.531,-104.729,Shield | Shield,341811
"Nevado, Cerro",-35.58,-68.489,Cluster | Volcanic field,357806
"Negro, Cerro",10.462,-83.855,Shield | Shield,345806
Ngaoundere Plateau,7.25,13.67,Cluster | Volcanic field,224040
Ngatoroirangi,-33.729,179.827,Composite | Stratovolcano,241201
Nevsehir-Acigol Volcanic Complex,38.537,34.621,Cluster | Complex,213004
"Neiges, Piton des",-21.08,55.48,Shield | Shield,233802
Ngorongoro,-3.17,35.57,Caldera | Caldera,222811
"Niebla, Cerro de la",-25.25,-68.63,Composite | Compound,355858
Nekoma,37.617,140.011,Composite | Stratovolcano,283870
Nggatokae,-8.78,158.18,Composite | Stratovolcano,255809
Nelangaapan,9.932,125.27,Unknown | Unknown,272800
Nigorikawa,42.12,140.45,Caldera | Caldera,285805
Negros de Aras,-24.18,-68.25,Cluster | Pyroclastic cone(s),355106
Niseikaushuppe,43.777,142.989,Composite | Stratovolcano,285818
Nonda,-7.67,156.6,Composite | Stratovolcano,255803
Noro,35.41,133.182,Minor | Pyroclastic cone,283808
Niuatoputapu,-15.956,-173.782,Composite | Stratovolcano,243103
North Kawio,4.684,125.468,Composite | Complex,267075
Northeast Bank,-14.061,-170.084,Composite | Stratovolcano,244011
Northeast Shepherd Islands,-17.0007,168.636,Composite | Stratovolcano(es),257080
Northern Atenguillo,20.75,-104.5,Cluster | Shield(s),341817
Northern Centres,17.508,-62.992,Composite | Stratovolcano(es),360806
Niihau,21.95,-160.08,Shield | Shield,332810
Northern Efate,-17.6167,168.3792,Cluster | Stratovolcano(es),257804
Northern Guadalajara Mesa,20.88,-103.4,Cluster | Lava dome(s),341819
Northern Matas,-15.005,-173.793,Cluster | Volcanic field,243132
Niua Volcanic Complex,-15.122,-173.549,Composite | Complex,243150
Northwest Shepherd Islands,-17.063,168.381,Composite | Complex,257806
Nulla Volcanic Province,-19.82,145.08,Cluster | Shield(s),259807
Nosy Be,-13.3233,48.2894,Cluster | Volcanic field,233012
Numa Numa,-6.02,155.192,Composite | Stratovolcano,255801
Numanokami,36.772,139.279,Composite | Stratovolcano,283860
Nunivak Island,60.02,-166.33,Cluster | Shield,314020
Nuomin,49.617,123.717,Cluster | Pyroclastic cone(s),305847
Nanzaki,34.604,138.832,Minor | Pyroclastic cone,283814
Northern Tongariro Group,-38.98,175.7,Composite | Stratovolcano(es),241819
Nushan,33.12,118.75,Minor | Cone,305802
Nyoho-Akanagi,36.808,139.54,Composite | Stratovolcano,283864
Obiglio,-74.458,-131.848,Minor | Pyroclastic cone,390821
Napo Taroare,4.048,125.345,Composite | Stratovolcano,267065
Ocate,36.12,-104.75,Cluster | Volcanic field,327819
"Nyokie, Ol Doinyo",-1.8,36.38,Minor | Tuff cone,222805
Nyuto-Takakura,39.802,140.842,Composite | Stratovolcano(es),283885
Oetakayama,35.061,132.431,Minor | Lava dome(s),283806
Ochchamo,55.62,158.15,Shield | Shield,300874
Ogino-Sen,35.437,134.444,Minor | Pyroclastic cone(s),283812
Ojikajima,33.199,129.051,Shield | Shield(s),282810
Ok,64.62,-20.88,Shield | Shield,371806
Northern Mendoza Volcanic Field,-34.67,-69.0,Cluster | Volcanic field,357802
Okushiri-Katsumayama,42.193,139.468,Shield | Shield,285806
Oliver-Speight,-32.388,-179.591,Composite | Complex,241205
Olallie Butte,44.82,-121.75,Shield | Shield(s),322804
Narage,-4.547,149.113,Composite | Stratovolcano,252801
Nograd-Southern Slovakia,48.159,19.79,Cluster | Volcanic field,210807
Olim,5.2,96.18,Cluster | Fissure vent(s),261801
Ollague,-21.3,-68.18,Composite | Stratovolcano,355060
Nosichan,56.08,157.75,Shield | Shield,300879
Onnebetsu,43.991,145.017,Composite | Stratovolcano,285829
Oricola-Carsoli,42.15,13.08,Cluster | Pyroclastic cone(s),211807
"Ora, Doro",-8.75,119.67,Unknown | Unknown,264841
Onoharajima,34.045,139.387,Minor | Lava dome,284801
Orofure-Raiba,42.563,141.091,Composite | Stratovolcano(es),285812
Oshima Maruyama,41.54,140.375,Composite | Stratovolcano,285800
Oshima-Kojima,41.355,139.811,Composite | Stratovolcano,285839
Otdelniy,52.221,157.435,Shield | Pyroclastic cone(s),300056
Ostanets,52.146,157.322,Shield | Shield(s),300055
Oto Group,-5.558,150.407,Composite | Stratovolcano(es),252803
"Otota, Doro",-8.72,119.42,Unknown | Unknown,264840
Oulmes Volcanic Field,33.33,-6.0,Cluster | Volcanic field,225802
Ovalny,56.98,158.98,Shield | Shield,300887
Oujda Volcanic Field,34.53,-3.3,Cluster | Volcanic field,225814
Nichiyo Seamount,29.482,140.327,Composite | Stratovolcano,284086
"Overo, Cerro",-23.52,-67.662,Minor | Maar,355097
Oki-Dogo,36.176,133.334,Unknown | Shield,283003
Oyma,12.88,41.62,Composite | Stratovolcano,221800
Ozernoy,51.88,157.38,Shield | Shield,300051
Paama Island,-16.47,168.23,Composite | Complex,257803
Pacdahauan,11.404,124.509,Unknown | Unknown,272807
Pailin,12.9,102.6,Unknown | Unknown,275808
Paco-Maniayao,9.593,125.52,Composite | Stratovolcano,271090
Pambamarca,-0.076,-78.207,Composite | Stratovolcano,352807
Pampa Luxsar,-20.85,-68.2,Cluster | Volcanic field,355042
Pan de Azucar,-0.43,-77.72,Composite | Stratovolcano,352812
Panay,13.723,120.893,Composite | Stratovolcano,273806
Pandan,-7.4592,111.7997,Composite | Cone,263275
Paniri,-22.059,-68.228,Composite | Stratovolcano,355831
Okiura,40.57,140.73,Caldera | Caldera,283891
Patas,-8.261,114.817,Unknown | Unknown,264831
Omeshidake,36.626,138.461,Composite | Stratovolcano,283850
"Patos, Los",-27.27,-69.0,Composite | Stratovolcano,355863
Papayo,19.308,-98.7,Minor | Lava dome,341081
Pasochoa,-0.462,-78.478,Composite | Stratovolcano,352811
Patilla Pata,-18.05,-69.03,Composite | Stratovolcano,355808
Pelican Butte,42.52,-122.13,Shield | Shield,322833
"Pantoja, Cerro",-40.768,-71.943,Composite | Stratovolcano,357152
"Pedregal, El",14.1,-87.27,Shield | Shield,343820
Perevalovyi,56.57,159.35,Shield | Shield,300889
"Perdidos, Los",10.403,-84.675,Caldera | Caldera,345802
Perevalny,52.13,157.78,Shield | Shield,300815
Persani Mountains,45.982,25.339,Cluster | Volcanic field,210802
Pengchiahsu,25.63,122.08,Composite | Stratovolcano,281805
Pesawaran-Ratai,-5.505,105.093,Composite | Stratovolcano,261285
Peter I Island,-68.85,-90.58,Shield | Shield,390029
Pesagi,-4.9233,104.1462,Unknown | Unknown,261821
Piebald Volcanic Province,-15.23,145.03,Cluster | Shield(s),259801
Phoenix Segment,41.404,-127.38,Cluster | Fissure vent,331034
Petacas,1.6215,-76.8425,Minor | Lava dome,351062
Onikobe,38.83,140.695,Caldera | Caldera,283879
Piedra Parada,-26.4,-68.75,Composite | Stratovolcano,355860
Piip,55.319,160.667,Shield | Shield,300849
Piedra Grande,14.25,-90.4,Composite | Stratovolcano(es),342804
Pinto Basin-Salton Creek,33.9,-115.63,Cluster | Volcanic field,323827
Pilavo,0.526,-78.365,Composite | Stratovolcano,352801
Pinzon,-0.6,-90.68,Shield | Shield,353803
Pirozhnikova,57.53,160.339,Composite | Stratovolcano,300899
Piratkovsky,52.113,157.849,Composite | Stratovolcano,300054
Pino Hachado,-38.679,-70.814,Caldera | Caldera,357809
Pitcairn,-25.068,-130.113,Shield | Shield,333808
Pirongia,-37.993,175.098,Composite | Stratovolcano,241810
Plosky,55.1865,158.4784,Shield | Shield,300310
Ploskiy,52.37,157.62,Composite | Stratovolcano,300820
Pleiku-Bantour Volcanic Field,13.85,108.1,Cluster | Cone(s),275805
"Piuquenes, Nevado de los",-33.52,-69.83,Composite | Stratovolcano,357801
Plosky,57.83,160.25,Shield | Shield,300630
Pocdol Mountains,13.05,123.958,Composite | Compound,273020
Pogranychny,56.85,159.8,Shield | Shield(s),300470
Poco Leok,-8.68,120.48,Composite | Stratovolcano,264070
Polino,42.57,12.82,Minor | Explosion crater(s),211805
"Poco Sol, Laguna",10.35,-84.67,Minor | Explosion crater(?),345803
Poquis,-23.02,-67.05,Composite | Stratovolcano,355844
Pontine Islands,40.9,12.95,Minor | Lava dome(s),211814
Poros,37.48,23.43,Cluster | Fissure vent,212803
Pomare,-16.7241,168.2852,Composite | Stratovolcano,257061
